ID,firstName,firstNameNormalized,lastName,lastNameNormalized,birthDate,address,username,email,password
1,Giampiero,giampiero,Natta,natta,1985-03-16,"Stretto Lombroso 632, Rieti",gnatta9214,giampiero.natta60375@example.com,"&Av28M($L98NbB8@s.$EtO@(tufR*@wtDmVNC6GFJExu7#oF1kGzHDy?qsJrG,nH&4e@Yk&k6vvo&.Lk%NR0w)dbCvsMDSKiy"
2,Mercedes,mercedes,Caruso,caruso,1971-10-09,"Piazza Binaghi 167, Seghe",mcaruso3165,mercedes.caruso24559@example.com,",vCgkF(QkQ!oXkPM#SGVqjy%c@nto@P298fuf#?PyKOFCa%WY?rONOcYbeJW,ymx#OJE*8@gttd#P6Brw(T4AW4!@atwDOmyM#IpDobphBc5HN58qxNu)"
3,Morena,morena,Cantimori,cantimori,,"Rotonda Fiamma 69, Serravalle",mcantimori6550,morena.cantimori7932@example.com,"*enA7g(rja?6*mc(NmVyTUJTNz#dDtk5jY6VT&4r,5xG.pib(3z%!dIm#!iUjs"
4,Fulvio,fulvio,Tarchetti,tarchetti,,"Strada Mariano 36, Morrone Del Sannio",ftarchetti4518,fulvio.tarchetti40937@example.com,"KzDCE#JGh5!P4$#lH$NOT!McVw2$EHtBdLc09*SX3x9u$?waAU9ZG9KXpa6qBvG#Rx6,"
5,Vincenzo,vincenzo,Oliboni,oliboni,1998-05-20,"Vicolo Pinamonte 97, Santa Luce",voliboni9875,vincenzo.oliboni9299@example.com,93Y*VO(*eB!8@4.7u*sp5PL#)##7JnvbOcYVcKVaz$kyL4$Z)gG43k9ht6gRb8wXEq@
6,Girolamo,girolamo,Carnera,carnera,,"Stretto Ossola 917, Pontremoli",gcarnera589,girolamo.carnera44408@example.com,"Dc#hfM4lte),b?t#Wr1d6Q*FP0Z6(0.5T3,4BSViSL(dY4D*qXwFPVDNS1AZeQPCuuTq?,Fsj.ZQkCK3&zX8,r5Ozl#*I?kW!Rrh6GG3L)b"
7,Gaetano,gaetano,Proietti,proietti,1983-11-12,"Rotonda Olga 37, Fengo",gproietti941,gaetano.proietti60954@example.com,0t()RO7aUfk
8,Giacobbe,giacobbe,Tasca,tasca,,"Incrocio Almagià 8, Grana",gtasca7130,giacobbe.tasca49626@example.com,$EkqhK3bbK0xXP010&H3ls&O)xnPX5YJ@trlrUe6UCSDs9$cvXtW2Knt8I
9,Costantino,costantino,Maspero,maspero,1989-10-25,"Vicolo Caetani 665, Furtei",cmaspero2202,costantino.maspero94197@example.com,LLrUSJDxb%BsTe1!$iem6ymT0ho@atedB?p
10,Lina,lina,Albertini,albertini,1980-07-24,"Strada Alessandra 8, Venco'",lalbertini1004,lina.albertini23115@example.com,q%9QtfuG4dzCW7&52xpk28WN1RuP*k6.mwwDxUex28MYuiPZY8%rJwMZE)b5L94$wO3%c$iuru()
11,Niccolò,niccolo,Redi,redi,1981-03-30,"Borgo Iannelli 18, Polistena",nredi9795,niccolo.redi18049@example.com,X7%VHdAIFNYgNY$7VA#yWB@hn4QesOxkDErUi(JJ.sQ2bq?#leLMNZRVDgNRW&
12,Armando,armando,Vergassola,vergassola,1975-01-03,"Incrocio Camilla 26, Civitanova Del Sannio",avergassola6349,armando.vergassola60632@example.com,xmO1qI2i!AkazT
13,Greca,greca,Sraffa,sraffa,,"Stretto Romina 67, Vita",gsraffa7983,greca.sraffa95623@example.com,"YTdewH,a$NzRb?r%Pw,8$mNGqv)BuY@dNb(5P5$4ZAI0pIhtsvgb)Y0w!7kZm#H.3Yj)7jMCgPiPqgoe*RKprJwaoM*lwX0YC99r&()R,IVH(hY(cTg5Gl)eo6"
14,Gionata,gionata,Borroni,borroni,1962-02-09,"Borgo Donati 81, Capodrise",gborroni4483,gionata.borroni76523@example.com,"Fao5cVt0u&pK9yHk,L5dZkuDVuonSE$BiSo6*NRm6pFzxW!3"
15,Alessio,alessio,Trotta,trotta,1983-07-29,"Piazza Benito 51, Veleso",atrotta8950,alessio.trotta41307@example.com,"Qgg0Dy9!@8J,MiiAjTBeIopz4DJtr.xkYbeg5d5clHQWdV%KoyUJ0d%a2i&Tmu@NZE(iO0pcdXz*$uLO@?QxG*8#f!9#z5C(r"
16,Sante,sante,Cannizzaro,cannizzaro,1952-11-12,"Rotonda Gianluigi 95, Sant'Elia Fiumerapido",scannizzaro394,sante.cannizzaro54149@example.com,"zZ(#T(c8G,sO(**h(RFXvBV2AP@6gM%jb0wHheaSpT"
17,Gianfrancesco,gianfrancesco,Vespucci,vespucci,1996-05-15,"Vicolo Prati 9, Capriano Del Colle",gvespucci8720,gianfrancesco.vespucci24956@example.com,"zRl,znVw9k3&2l5IK7gcan1Ojol(V?4kva6)(pE639yr)(k3GRy?n#W"
18,Gianna,gianna,Panicucci,panicucci,1964-04-10,"Vicolo Barracco 138, Boccaleone",gpanicucci9721,gianna.panicucci59570@example.com,JTCn0wbd$kCrkD3#x3oA1)mt&(3lDmb&Q$p9C1y1m1xD@f1?2
