ID,firstName,firstNameNormalized,lastName,lastNameNormalized,birthDate,address,username,email,password
1,Paride,paride,Trapanese,trapanese,1949-08-01,Contrada Carmelo 58 Rocca Malatina,ptrapanese2077,paride.trapanese61615@example.com,1eoZ5)iRo&4EXBH*NEtq%FGYOe@3A$3sr?vcY6bUORUCFBQuVjpeqLnKWg3@JsxLEAMF&%aMHfZkp$$tLU$24#*?q%$3n31j$
2,Rita,rita,Gregori,gregori,1996-05-07,Rotonda Pezzali 40 Ordona,rgregori3532,rita.gregori44700@example.com,"iw5DfFFey.5PPKp$gR8m(8WgbUpBDQUB&UmoqHG$kQ4ub2mgfeC,04"
3,Fabrizio,fabrizio,Costalonga,costalonga,,Rotonda Adriana 48 Corio,fcostalonga845,fabrizio.costalonga67320@example.com,b4p!CKIZzQF7JE84Oj7@#mAE?YtBoaP5miqhpsPTN@&H8#dmQQ.76@@zl&sHUt$f?%3AoOxmmHrRxA8e?PU@O6mc@VNzN91p@87mP2fKGwiPU9(tgHldOC
4,Milo,milo,Scaramucci,scaramucci,1967-12-31,Viale Malipiero 190 Guarda Veneta,mscaramucci8203,milo.scaramucci1520@example.com,p0&z0Gx#
5,Leone,leone,Pirelli,pirelli,,Strada Ansaldo 718 Augusta,lpirelli3841,leone.pirelli48290@example.com,"HyQq?FX#$b4c)tQ3m?6s)dcos7@n(w2pljwT(VBZDER)sHJp,.KW0zV"
6,Ottavio,ottavio,Draghi,draghi,,Canale Mancini 6 Vicoli,odraghi586,ottavio.draghi72003@example.com,"wXZArCXBBQ#q)yVPzsS1WC*x3wCw@EC(!N$Dc75txh78#AgaQj)5w#3ho.,sef#5n&UL2w7T7OM3v(Io(mbCeMJ2AP4Pu.&uNvzeO"
7,Marcantonio,marcantonio,Fanucci,fanucci,,Via Elmo 388 Vallo Di Nera,mfanucci2038,marcantonio.fanucci35200@example.com,"H9o476#N@xl.GwzahND)LoE)r*0(S3F#Av@!ZE*GvF&3w*To1ZMwmxBZl7KdZer,NRU%8dksY%3q"
8,Roberto,roberto,Nonis,nonis,,Via Dino 373 Mazzolla,rnonis4590,roberto.nonis19609@example.com,"1W,9NuX@fW#zQID.xCTxWa*6xklZ73q0Ry0KLcwE1H92ZJlvN0%z#NlKd0WW@iFp"
9,Greco,greco,Marrone,marrone,,Vicolo Adelasia 2 Schifanoia,gmarrone5062,greco.marrone72434@example.com,"JqiwfoEG&Kj64)OcQMU)sEy89T@$,fnkQ#M16XS2?QPeU#n1pd?n!66Ydp05Ufxram"
10,Raffaele,raffaele,Depero,depero,,Rotonda Viridiana 184 Calenzano,rdepero9519,raffaele.depero53424@example.com,*xCy)G4e6?Zx(bCp0aJa4gN3TBA)rCzrQv1qiGW%YJ!WC#Uva*&GJXzl3%L%wSvfORGzzi@8BxGSBPkG#mkY(1eJZ&a96Zs2yKuil).Zfms
11,Augusto,augusto,Micca,micca,,Incrocio Tartaglia 68 Petruro Irpino,amicca7679,augusto.micca31683@example.com,")q,HD*@ApAK1,@96iu7i6#Abq#G6t&Mlj0b!3H(dl($,XJ1@qL*SK4oLwMfpuNg@$4co#1Wejb!DaP49gW"
12,Amleto,amleto,Torlonia,torlonia,1991-01-18,Strada Quasimodo 50 Cardito Di Vallerotonda,atorlonia5865,amleto.torlonia50930@example.com,tCAxeK@P&o(rKcD8%uKWnbf)YOWICpwrhH!VAdxn7o!)
13,Lolita,lolita,Persico,persico,1991-07-30,Vicolo Broggini 955 Champoluc,lpersico7336,lolita.persico35319@example.com,"y1U&utaeDbDxg$YHK@4FLQ98H2wFsaI@LSE59ATN&%(9Y25bErEazW1LyHaeZ6yPgm(Nu?dTUxH!a&q,2RJ"
